z,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
0.25,0.98,-0.6918276322749206,0.0,-0.04459239206565245,0.0,-0.0501862352958658,0.0,-0.05022442485782146,0.0,0.7401745089316573,0.0
0.25,1.02,-0.6980368207673664,0.0,-0.0407034571360208,0.0,-0.04574800098932101,0.0,-0.04577304509132217,0.0,0.7499890083676375,0.0
0.25,1.05,-0.6952449997723285,0.0,-0.03846535629968013,0.0,-0.043027278130316184,0.0,-0.043045623755472356,0.0,0.7503928080286997,0.0
0.25,1.1,-0.6813729804131696,0.0,-0.033629386525059306,0.0,-0.038280471512996524,0.0,-0.038289391306764016,0.0,0.7519615152188989,0.0
0.25,1.25,-0.6637720865571535,0.0,-0.012192615311334915,0.0,-0.013496524311324727,0.0,-0.013491003151941568,0.0,0.7565639807414906,0.0
0.25,1.5,-0.6460788944541163,0.0,-0.009551229375119827,0.0,-0.010856891980273764,0.0,-0.010852101775373102,0.0,0.734931319573314,0.0
0.25,2.0,-0.5781711492614372,0.0,-0.009628179176112492,0.0,-0.01143446581062039,0.0,-0.011429494358213726,0.0,0.6431378701129207,0.0
0.25,3.0,-0.41011158666014924,0.0,-0.015321120739508276,0.0,-0.022179312672006332,0.0,-0.02217367477098152,0.0,0.45063879197356377,0.0
0.25,5.0,-0.20626020163832748,0.0,0.01343182900203771,0.0,0.025117595487108405,0.0,0.025112956599778722,0.0,0.2646115222263945,0.0
0.25,7.0,-0.11970499061364692,0.0,0.024424775608608194,0.0,0.05207937668911053,0.0,0.052124065530600436,0.0,0.1864914165267382,0.0
0.25,10.0,-0.07896796813573781,0.0,0.020701950214812644,0.0,0.05259690764721042,0.0,0.05264347040785981,0.0,0.12688596393219828,0.0
0.5,0.5,-0.27625633638068403,0.0,-0.02478841528879201,0.0,-0.04226127101171587,0.0,-0.042277906451627226,0.0,0.29421899187775036,0.0
0.5,0.75,-0.3591390510340646,0.0,-0.02880313567933941,0.0,-0.043553653194815134,0.0,-0.043573218008378295,0.0,0.3717904320307024,0.0
0.5,0.9,-0.4121215183615645,0.0,-0.041417659156320424,0.0,-0.06102865869248965,0.0,-0.06111204872253358,0.0,0.41280797133426883,0.0
0.5,0.95,-0.42298456000566875,0.0,-0.04103570900216759,0.0,-0.05995431922547713,0.0,-0.060032325407990944,0.0,0.42303513913147717,0.0
0.5,0.98,-0.4145822977539033,0.0,-0.03248921390579812,0.0,-0.04767484673753753,0.0,-0.047705248608135,0.0,0.4288629401090687,0.0
0.5,1.02,-0.41445876197526954,0.0,-0.03018213420818037,0.0,-0.04425373425565182,0.0,-0.04427497700326544,0.0,0.4328978242170295,0.0
0.5,1.05,-0.41522028046167825,0.0,-0.029179824058609565,0.0,-0.042424659125450286,0.0,-0.042441653032394056,0.0,0.43359140871439217,0.0
0.5,1.1,-0.40732962204309753,0.0,-0.024292134523919783,0.0,-0.035866660431174036,0.0,-0.03587180309514258,0.0,0.4377469724712777,0.0
0.5,1.25,-0.39774704376072134,0.0,-0.010944327605131494,0.0,-0.015731653553882712,0.0,-0.01572573182084654,0.0,0.44716073454118666,0.0
0.5,1.5,-0.397113965295238,0.0,-0.007109121175561851,0.0,-0.01023132192903466,0.0,-0.010226740269845677,0.0,0.45200971165966897,0.0
0.5,2.0,-0.3932420194746198,0.0,-0.005940416198576569,0.0,-0.008505509622047611,0.0,-0.008501563326325505,0.0,0.4375304606423432,0.0
0.5,3.0,-0.32218922976659714,0.0,-0.012360881538007849,0.0,-0.020195581102996532,0.0,-0.0201895984865621,0.0,0.35279587222272213,0.0
0.5,5.0,-0.1811199695804533,0.0,0.012226315241838833,0.0,0.02433614189121286,0.0,0.024331176886853816,0.0,0.23272906885972194,0.0
0.5,7.0,-0.1084567431519885,0.0,0.023314231290571818,0.0,0.05184114015697353,0.0,0.051884980551647135,0.0,0.17122822791794312,0.0
0.5,10.0,-0.07386876050464086,0.0,0.020058403053365807,0.0,0.052409558816994044,0.0,0.05245543831978646,0.0,0.12004546443381367,0.0
1.0,0.5,-0.15843608256649389,0.0,-0.020074812211357363,0.0,-0.0470251505450987,0.0,-0.04705368731648294,0.0,0.15528546024309786,0.0
1.0,0.75,-0.19682334031455584,0.0,-0.020032683415425,0.0,-0.0416121403002573,0.0,-0.04162738501123618,0.0,0.19517634951314342,0.0
1.0,0.9,-0.22473375456945321,0.0,-0.02649124348138124,0.0,-0.05355785903359385,0.0,-0.053608014421615884,0.0,0.2157960258193008,0.0
1.0,0.95,-0.230582932850655,0.0,-0.026553682493667168,0.0,-0.05324827697606554,0.0,-0.05329725877802666,0.0,0.2214657911921259,0.0
1.0,0.98,-0.22540205659878731,0.0,-0.021139399738349968,0.0,-0.04247968766299635,0.0,-0.04249680306763699,0.0,0.2249121053928993,0.0
1.0,1.02,-0.2245409666613989,0.0,-0.02000622177096677,0.0,-0.040149445047544814,0.0,-0.04016174828534216,0.0,0.22683496677129272,0.0
1.0,1.05,-0.22713906329944766,0.0,-0.019990800668831826,0.0,-0.03964506408110066,0.0,-0.039656413455467214,0.0,0.2282455922191613,0.0
1.0,1.1,-0.2224572929236428,0.0,-0.015951845046090936,0.0,-0.03196721155604455,0.0,-0.03196756199499861,0.0,0.23227403579308858,0.0
1.0,1.25,-0.21789813997286633,0.0,-0.00825259907751011,0.0,-0.016050463860143013,0.0,-0.016044503425570157,0.0,0.24110451131743502,0.0
1.0,1.5,-0.22065411649887223,0.0,-0.0047024881949906585,0.0,-0.008989529805787865,0.0,-0.008985396986327566,0.0,0.25147398450641817,0.0
1.0,2.0,-0.23400244327749986,0.0,-0.0030329997150406866,0.0,-0.005573569180841936,0.0,-0.005570868228479886,0.0,0.2614125833667818,0.0
1.0,3.0,-0.2225324471842356,0.0,-0.009041955328450117,0.0,-0.017754237603305394,0.0,-0.017748155708863348,0.0,0.24216709512336934,0.0
