z2,cq,R2_m,R2_se,Epi_m,Epi_se,SR_m,SR_se,SRvar_m,SRvar_se,beta_norm2_m,beta_norm2_se
0.1,1.5,-2.9364410148114692,0.0,-0.05421488588672605,0.0,-0.028959990472408013,0.0,-0.02895765251966442,0.0,3.210796780393531,0.0
0.1,2.0,-1.587719108885973,0.0,-0.08978494149738213,0.0,-0.06422023961474979,0.0,-0.06432089588252649,0.0,1.7398982463087458,0.0
0.1,3.0,-0.9929439536277125,0.0,-0.028815411104335366,0.0,-0.02509122132431985,0.0,-0.025086570687455585,0.0,1.1262582834053567,0.0
0.1,5.0,-0.6106481048122321,0.0,0.007803347622582024,0.0,0.00829209836256726,0.0,0.008288236226236662,0.0,0.7290667846628901,0.0
0.1,7.0,-0.5001657590853783,0.0,0.009383692284772004,0.0,0.010425299538981513,0.0,0.010420651894807004,0.0,0.6115630969030709,0.0
0.1,10.0,-0.4282046884535633,0.0,0.017532219014544402,0.0,0.020269796410446867,0.0,0.020263822249011434,0.0,0.5249947181513391,0.0
0.2,0.5,-0.9926045749009771,0.0,-0.013088936144883774,0.0,-0.010979142105999134,0.0,-0.010974312612189108,0.0,1.224084022185498,0.0
0.2,0.75,-3.2726383729241943,0.0,-0.03456164194320994,0.0,-0.01643672004939617,0.0,-0.01643071929261428,0.0,3.7785767307021576,0.0
0.2,0.9,-6.537270381772886,0.0,-0.08169632667712548,0.0,-0.028741677138791118,0.0,-0.028739175644887476,0.0,7.741406666997737,0.0
0.2,0.95,-9.402342951873226,0.0,0.024061865504547027,0.0,0.006889259975429062,0.0,0.006885977896599523,0.0,11.552527238435053,0.0
0.2,0.98,-12.96683142373703,0.0,-0.03149085291145987,0.0,-0.0076868203749893,0.0,-0.007683202996326442,0.0,16.050263716876806,0.0
0.2,1.02,-12.864547580397524,0.0,0.03543108144964049,0.0,0.00872192948156037,0.0,0.00871789902658169,0.0,15.386621918845538,0.0
0.2,1.05,-9.652770935934537,0.0,-0.0016106844288846958,0.0,-0.000448072397557589,0.0,-0.0004478483502787451,0.0,12.573736161815438,0.0
0.2,1.1,-7.182711629446388,0.0,-0.033105962774828385,0.0,-0.010781037654234887,0.0,-0.010776272072518763,0.0,9.084964274809003,0.0
0.2,1.25,-4.412944060790537,0.0,-0.08488829667553427,0.0,-0.035649686711145594,0.0,-0.035654521280965336,0.0,5.156600042666563,0.0
0.2,1.5,-2.8942387822183995,0.0,-0.05167578679242149,0.0,-0.02777066538076762,0.0,-0.02776748591959807,0.0,3.1598684374969856,0.0
0.2,2.0,-1.5824474340842518,0.0,-0.0859475056719938,0.0,-0.061542413934884056,0.0,-0.061628453667979456,0.0,1.7349957506409373,0.0
0.2,3.0,-1.004434441762844,0.0,-0.02957251821596666,0.0,-0.025544059088196545,0.0,-0.025539617510557867,0.0,1.1376575216922833,0.0
0.2,5.0,-0.6418179240276567,0.0,0.005134606453736444,0.0,0.0054413255229886865,0.0,0.005438684694669166,0.0,0.7553513389228348,0.0
0.2,7.0,-0.5178818070973468,0.0,0.011652631341154213,0.0,0.012635554481855967,0.0,0.012630243419511432,0.0,0.6297833512892418,0.0
0.2,10.0,-0.4424040887856837,0.0,0.021895951457070913,0.0,0.024719408902295747,0.0,0.024714598177652335,0.0,0.5426284304224772,0.0
0.25,0.5,-0.9874467241267242,0.0,-0.01324406146416441,0.0,-0.01113912161201368,0.0,-0.01113424144805787,0.0,1.2172760696933482,0.0
0.25,0.75,-3.213513872301493,0.0,-0.03414319230657702,0.0,-0.016386872559441178,0.0,-0.016380876596503537,0.0,3.708735400696423,0.0
0.25,0.9,-6.209718893424022,0.0,-0.08406874171297028,0.0,-0.03040334744301365,0.0,-0.030402196556562414,0.0,7.33653843406392,0.0
0.25,0.95,-8.538878101014456,0.0,0.012302149689980056,0.0,0.0037097341010795554,0.0,0.003707904284493054,0.0,10.502585076786257,0.0
0.25,0.98,-10.872304296100813,0.0,-0.016788108973321846,0.0,-0.004509876896092431,0.0,-0.004507667234559362,0.0,13.636649533436866,0.0
0.25,1.02,-11.125262388766156,0.0,0.03011951681761287,0.0,0.007966546854259357,0.0,0.007962815272019563,0.0,13.362146624415246,0.0
0.25,1.05,-8.77558848824648,0.0,0.00329838492911707,0.0,0.0009653762747181997,0.0,0.0009648939154656318,0.0,11.456276503389876,0.0
0.25,1.1,-6.783169765289162,0.0,-0.03973445129008704,0.0,-0.01333947834524045,0.0,-0.013333993327181874,0.0,8.564717022471566,0.0
0.25,1.25,-4.327210053833128,0.0,-0.08564045791043692,0.0,-0.03633403734424121,0.0,-0.036339860960203474,0.0,5.045417440772055,0.0
0.25,1.5,-2.8662504293525393,0.0,-0.050487568951846556,0.0,-0.027255012219055772,0.0,-0.027251504879982805,0.0,3.128851132802735,0.0
0.25,2.0,-1.5763988974040548,0.0,-0.08507115522781228,0.0,-0.06103936292821035,0.0,-0.06112280766680533,0.0,1.7288089636651485,0.0
0.25,3.0,-1.0043671260795706,0.0,-0.0297453201220728,0.0,-0.025682304856572,0.0,-0.025677930223756022,0.0,1.1377689041591008,0.0
0.25,5.0,-0.6492722413729104,0.0,0.003726922819930497,0.0,0.003946301718294754,0.0,0.003944358787356605,0.0,0.7613880802433604,0.0
0.25,7.0,-0.5207993570893026,0.0,0.011430538781810277,0.0,0.012346765956825545,0.0,0.012341531753359045,0.0,0.6318802037557268,0.0
0.25,10.0,-0.44435532218610296,0.0,0.022057713962643496,0.0,0.02485177751647137,0.0,0.024847022600089523,0.0,0.544258462617147,0.0
0.5,0.5,-0.9626323788918858,0.0,-0.013926494526972009,0.0,-0.011866837435496307,0.0,-0.011861737757900564,0.0,1.18446153253511,0.0
0.5,0.75,-2.943085576260552,0.0,-0.033213898059659935,0.0,-0.01666019747123976,0.0,-0.01665417673413951,0.0,3.3850775814304264,0.0
0.5,0.9,-5.023227927831313,0.0,-0.08987989404092672,0.0,-0.0363022479160307,0.0,-0.036308024462586005,0.0,5.88925127710684,0.0
